English,Norwegian
opening,åpning
operation,operasjon
opinion,mening
opportunity,mulighet
option,alternativ
order,rekkefølge
other,andre
out,ut
output,utgang
outside,utenfor
outstanding,fremragende
over,over
overseas,oversjøisk
own,egen
pace,tempo
pacific,pacific
pact,pact
page,siden
pain,smerte
pan,panne
paper,papir
par,par
paradise,paradis
parent,forelder
parliament,parlamentet
part,del
party,fest
pass,pass
passage,passage
past,fortid
path,sti
pay,betale
payment,betaling
peace,fred
pen,penn
people,folk
performance,ytelse
period,perioden
personal,personlig
physical,fysisk
pick,velge
picture,bilde
piece,stykke
pin,pin
pipe,pipe
pitch,bek
place,sted
plain,ren
plan,plan
plant,plante
plate,tallerken
play,spille
please,vennligst
plus,pluss
point,punkt
policy,politikk
political,politisk
poor,dårlig
pop,pop
position,posisjon
possession,besittelse
possible,mulig
post,post
pot,potte
potential,potensiell
pour,helle
power,makt
practice,praksis
present,til stede
press,trykk
pressure,press
previous,forrige
price,pris
primary,primære
prime,prime
principal,rektor
print,print
prior,før
private,private
pro,pro
problem,problem
proceeds,inntekter
process,prosessen
product,produktet
production,produksjon
profit,fortjeneste
program,program
progress,fremgang
project,prosjekt
promise,love
provide,gi
public,offentlige
pull,dra
purchase,kjøp
purpose,formål
push,skyv
put,sette
quantity,kvantitet
question,Spørsmål
quick,rask
quota,kvote
race,rase
radio,radio
raise,heve
range,rekkevidde
rank,rang
rate,sats
rather,snarere
reach,rekkevidde
read,lest
real,ekte
rear,bak
reason,Årsak
record,rekord
red,red
reduce,redusere
reduction,reduksjon
reflect,reflektere
reform,reform
related,relaterte
remain,forbli
render,gjengi
report,rapport
request,forespørsel
research,forskning
reserve,reserve
response,respons
rest,hvile
restraint,tilbakeholdenhet
retail,retail
return,tilbake
revenue,inntekt
review,gjennomgang
ride,ride
right,høyre
ring,ring
rise,stige
risk,risiko
rock,stein
role,rolle
roll,roll
room,rom
root,rot
rose,rose
rough,grov
round,runde
row,rad
rule,regelen
run,kjøre
rush,rush
safe,sikker
said,sa
sail,seil
sale,salg
salt,salt
same,samme
save,spare
say,sier
saying,sier
scale,skala
school,skole
science,vitenskap
score,poengsum
screen,skjerm
seal,forsegling
search,søk
season,årstid
second,andre
secret,hemmelig
secretary,sekretær
section,seksjon
sector,sektor
see,se
seek,søker
select,velg
self,selv
sell,selger
senate,senat
send,send
senior,senior
sense,fornuft
series,serien
serve,betjene
service,tjeneste
set,satt
settle,bosette
settlement,oppgjør
seven,syv
several,flere
shade,skyggen
shadow,skygge
shake,riste
shape,form
share,dele
sheet,ark
shift
ship,skip
shoot,skyte
shop,butikk
shot,skudd
show,vise
shut,stengt
sick,syk
side,side
sight,syn
sign,tegn
significant,betydelige
silence,stillhet
similar,lignende
single,singel
sink,vask
sit,sit
situation,situasjon
six,seks
skin,hud
sleep,søvn
slip,slip
slow,langsom
small,liten
smooth,glatt
snap,snap
so,så
social,sosial
soft,myk
sold,solgt
some,noen
someone,noen
song,song
sort,sorter
soul,sjel
sound,lyd
source,kilde
south,sør
space,plass
spare,reservedeler
speak,snakke
special,spesielle
speech,tale
speed,fart
spirit,ånd
split,split
spot,flekk
spread,spre
spring,vår
square,square
staff,ansatte
stage,scene
stake,stake
stand,stand
standing,stående
start,start
state,stat
statement,statement
station,stasjon
statistics,statistikk
stay,opphold
steam,damp
steel,stål
step,trinnet
sterling,sterling
stick,stick
still,fortsatt
stir,stir
stock,lager
stone,stein
stop,stop
store,butikken
story,historien
straight,rett
strain,belastning
straw,halm
stream,strøm
street,gate
strength,styrke
strike,streik
stroke,hjerneslag
strong,sterk
study,Studie
style,stil
subject,emne
subsidiary,Datterselskap
such,slike
sugar,sukker
suit,dress
sum,sum
sun,sol
supply,forsyning
support,støtte
surplus,overskudd
sweet,søt
sword,sverd
system,system
table,bord
tail,hale
take,ta
taking,ta
talk,diskusjon
target,target
taste,smak
tea,te
tear,rive
technology,teknologi
telephone,telefon
television,TV
tell,fortell
temper,temperament
tender,anbud
term,term
test,test
text,tekst
then,deretter
there,det
thick,tykk
thin,tynn
thing,ting
think,tror
third,tredje
thought,trodde
three,tre
throat,hals
through,gjennom
ticket,billett
tide,tidevann
time,tid
times,ganger
today,i dag
together,sammen
tomorrow,i morgen
tongue,tunge
too,også
top,topp
touch,berøring
track,spor
trade,handel
train,tog
transaction,transaksjon
tread,trå
treasury,skattekammer
tree,tre
TRUE,TRUE
trust,tillit
truth,sannhet
try,prøve
turn,svinge
two,to
under,i henhold til
union,union
united,united
up,opp
use,bruk
value,verdi
venture,våge
very,veldig
vice,nestleder
view,vise
virtue,dyden
voice,stemme
volume,volum
wait,vente
wall,vegg
want,ønsker
war,krig
warm,varm
waste,avfall
watch,se
water,vann
wave,bølge
way,vei
weak,svake
wear,slitasje
weather,vær
week,uke
weight,vekt
well,godt
west,vest
western,western
wet,våt
wheat,hvete
wheel,hjul
while,mens
white,hvit
whole,hele
wide,bred
wild,vill
will,vil
wind,vind
wise,klokt
wish,ønsker
within,innenfor
won,vant
wonder,lurer
word,ordet
work,arbeid
working,arbeider
world,verden
worse,verre
worth,verdt
write,skrive
wrong,feil
year,år
yellow,gul
yesterday,i går
yet,ennå
yield,utbytte
zero,null
zone,sone
