English,Finnish
file,tiedosto
filing,arkistointi
fill,täyttää
final,lopullinen
finance,rahoittaa
financial,taloudellinen
find,löytää
fine,hieno
finger,sormi
fire,tulipalo
firm,lujittaa
first,ensimmäinen
fiscal,vero-
fish,kala
fit,sovittaa
five,viisi
fix,korjata
fixed,kiinteä
flash,salama
flat,tasainen
flight,lento
flow,virtaus
fly,lentää
follow,seurata
following,seuraava
food,ruoka
foot,jalka
force,voima
forecast,sääennuste
foreign,ulkomainen
form,muoto
format,formaatti
former,entinen
forth,eteenpäin
fortune,onni
forward,eteenpäin
four,neljä
fourth,neljäs
free,vapaa
fresh,tuore
front,etuosa
full,täysi
fund,rahasto
further,edelleen
future,tulevaisuus
gain,saada
game,peli
garden,puutarha
gas,kaasu
general,yleinen
get,saada
give,antaa
given,annettu
glass,lasi
go,mennä
god,jumala
gold,kulta
golden,kultainen
gone,mennyt
good,hyvä
goose,hanhi
government,hallitus
grace,armo
grain,jyvä
grave,hauta
gray,harmaa
great,suuri
green,vihreä
gross,inhottava
ground,maa
group,ryhmä
growth,kasvu
guard,vartija
gulf,lahti
gun,ase
hair,hiukset
half,puoli
hand,käsi
hang,ripustaa
happy,onnellinen
hard,kovaa
hat,hattu
have,olla
he,hän (mies)
head,pää
health,terveys
heart,sydän
heat,lämpö
heaven,taivas
heavy,raskas
held,järjestetään
hell,helvetti
help,apua
here,täällä
hide,olla piilossa
high,korkea
hit,osuma
hold,pitää
holding,omistusosuus
hole,reikä
home,koti
honor,kunnia
hope,toivoa
horse,hevonen
hot,kuuma
hour,tunti
house,talo
ice,jää
idea,ajatus
ill,sairas
imagination,mielikuvitus
impact,vaikutus
import,maahantuonti
important,tärkeä
improve,parantaa
in,-ssä -llä
include,sisältää
income,tulo
increase,kasvaa
index,indeksi
industrial,teollinen
industry,teollisuus
inflation,inflaatio
influence,vaikutus
information,tiedot
initial,alustava
inquiry,kysely
instead,sen sijaan
institute,instituutti
insurance,vakuutus
interest,kiinnostus
international,kansainvälinen
interview,haastattelu
iron,rauta
issue,asia
jack,tunkki
job,työ
join,liittyä
joint,yhteinen
judgment,tuomio
jump,hypätä
just,oikeudenmukainen
justice,oikeudenmukaisuus
keep,pitää
key,avain
kick,potkia
king,kuningas
knock,koputtaa
know,tietää
knowledge,tuntemus
labor,työ
labour,työ
land,maa
language,kieli
large,suuri
last,viime
late,myöhään
law,laki
lay,asettaa
lead,johtaa
least,vähiten
leave,lähteä
led,johti
left,vasen
leg,jalka
length,pituus
less,vähemmän
let,antaa
letter,kirje
level,taso
lie,valehdella
life,elämä
lift,hissi
light,valo
like,kuten
likely,todennäköinen
limit,raja
limited,rajoitettu
line,viiva
list,lista
little,vähän
live,elää
living,elävä
load,ladata
loan,laina
local,paikallinen
lock,lukko
long,pitkä
look,katsoa
loose,löysä
lord,lordi
lose,menettää
loss,menetys
lost,menetetty
lot,paljon
love,rakkaus
low,alhainen
lower,alempi
luck,onni
machine,kone
made,tehty
mail,posti
main,tärkein
maintain,ylläpitää
major,merkittävä
majority,enemmistö
make,tehdä
man,mies
management,hallinta
manager,johtaja
many,monet
march,maaliskuu
mark,merkki
market,markkinat
master,mestari
match,ottelu
matter,asia
may,saattaa
mean,keskiarvo
meaning,merkitys
measure,mitata
medium,keskikokoinen
meet,tavata
meeting,kokous
member,jäsen
memory,muisti
men,miehet
message,viesti
mid,puoliväli
might,ehkä
military,asevoimat
milk,maito
mind,mieli
mine,kaivos
minimum,vähimmäismäärä
minister,ministeri
ministry,ministeriö
miss,ikävöidä
mode,tila
moment,hetki
monetary,raha-
money,raha
month,kuukausi
moral,moraalinen
more,lisää
morning,aamu
most,eniten
motion,liike
motor,moottori
mouth,suu
move,liikkua
much,paljon
music,musiikki
must,täytyy
nail,naula
name,nimi
nation,kansakunta
national,kansallinen
natural,luonnollinen
nature,luonto
near,lähellä
necessary,välttämätön
necessity,välttämättömyys
neck,kaula
need,tarve
needs,tarpeita
net,netto
network,verkko
never,ei koskaan
new,uusi
news,uutiset
newspaper,sanomalehti
next,seuraava
night,yö
nine,yhdeksän
north,pohjoinen
nose,nenä
not,ei
note,huomata
noted,huomattava
nothing,ei mitään
notice,ilmoitus
now,nyt
number,numero
object,esine
obligation,velvollisuus
occasion,tilaisuus
off,pois
offer,tarjous
office,toimisto
officer,upseeri
official,virallinen
oil,öljy
old,vanha
on,-llä -lla
one,yksi
only,vain
open,auki
opening,avaaminen
operation,toiminta
opinion,lausunto
opportunity,tilaisuus
option,vaihtoehto
order,järjestys
other,muut
out,ulos
output,ulostulo
outside,ulkopuolella
outstanding,erinomainen
over,yli
overseas,ulkomailla
own,oma
pace,vauhti
pacific,Tyynenmeren
package,paketti
pact,sopimus
page,sivu
paid,maksettu
pain,kipu
pan,pannu
paper,paperi
par,nimellisarvo
paradise,paratiisi
parent,vanhempi
parliament,eduskunta
part,osa
party,puolue
pass,kulkea
passage,kulku
past,ohi
path,polku
pay,maksaa
payment,maksu
peace,rauha
pen,kynä
people,ihmiset
performance,suorituskyky
period,aika
personal,henkilökohtainen
physical,fyysinen
pick,poimia
picture,kuva
piece,pala
pin,tappi
pipe,putki
pitch,pihka
place,paikka
plain,tavallinen
plan,suunnitelma
plant,kasvi
plate,lautanen
play,leikkiä
please,ole hyvä
plus,ynnä
pocket,tasku
point,kohta
policy,linja
political,poliittinen
poor,huono
pop,pamauttaa
position,asema
possession,hallussapito
possible,mahdollinen
post,posti
pot,potti
potential,potentiaali
pour,kaataa
power,teho
practice,käytäntö
present,nykyinen
president,presidentti
press,lehdistö
pressure,paine
previous,edellinen
price,hinta
pride,ylpeys
primary,ensisijainen
prime,erinomainen
principal,pääasiallinen
print,tulostaa
prior,ennen
private,yksityinen
pro,ammattilais-
problem,ongelma
proceeds,tuotto
process,prosessi
produce,tuottaa
product,tuote
production,tuotanto
profit,voitto
program,ohjelma
progress,edistyminen
project,projekti
promise,lupaus
provide,toimittaa
public,julkinen
pull,vetää
purchase,ostaa
purpose,tarkoitus
push,työntää
put,laittaa
quantity,määrä
quarter,neljännes
question,kysymys
quick,nopea
quota,osuus
race,rotu
radio,radio
rain,sade
raise,nostaa
range,kantama
rank,arvo
rate,maksu
rather,melko
reach,tavoittaa
read,lukea
ready,valmis
real,todellinen
rear,takaosa
reason,syy
receive,vastaanottaa
record,ennätys
red,punainen
reduce,vähentää
reduction,vähentäminen
reflect,heijastaa
reform,uudistus
related,liittyvä
remain,jäädä
render,tehdä
report,raportti
request,pyyntö
research,tutkimus
reserve,varata
response,vastaus
rest,levätä
restraint,rajoitus
result,tulos
retail,vähittäiskauppa
return,palata
revenue,tuloja
review,tarkastelu
ride,ratsastaa
right,oikeus
ring,rengas
rise,nousu
risk,riski
road,tie
rock,kivi
role,rooli
roll,rulla
room,huone
root,juuri
rose,ruusu
rough,karkea
round,kierros
row,rivi
rule,sääntö
run,juosta
rush,kiirehtiä
safe,turvallinen
said,sanoi
sail,purjehtia
sale,myynti
salt,suola
same,sama
save,tallentaa
say,sanoa
saying,sanonta
scale,asteikko
school,koulu
science,tiede
score,pisteet
screen,näyttö
sea,meri
seal,tiiviste
search,haku
season,kausi
seat,istuin
second,toinen
secret,salaisuus
secretary,sihteeri
section,osa
sector,sektori
security,turvallisuus
see,nähdä
seek,hakea
select,valita
self,itse
sell,myydä
senate,senaatti
send,lähettää
senior,vanhempi
sense,tunne
series,sarja
serve,palvella
service,palvelu
session,istunto
set,asettaa
settle,laskeutua
settlement,ratkaisu
seven,seitsemän
several,useat
shade,sävy
shadow,varjo
shake,ravistaa
shape,muoto
share,jakaa
sharp,terävä
sheet,arkki
shell,kuori
shift,muutos
ship,laiva
shoot,ampua
shop,myymälä
short,lyhyt
shot,laukaus
shoulder,olkapää
show,show
shut,kiinni
sick,sairas
side,puoli
sight,nähtävyys
sign,merkki
significant,merkittävä
silence,hiljaisuus
similar,samankaltainen
simple,yksinkertainen
single,yksittäinen
sink,pesuallas
sit,istua
situation,tilanne
six,kuusi
size,koko
skin,iho
sleep,uni
slip,lipsahdus
slow,hidas
small,pieni
smoke,savu
smooth,sileä
snap,napsauttaa
so,niin
social,sosiaalinen
soft,pehmeä
sold,myyty
some,jotkut
someone,joku
song,laulu
soon,pian
sort,lajitella
soul,sielu
sound,ääni
source,lähde
south,etelä
space,avaruus
spare,vara-
speak,puhua
special,erityinen
speech,puhe
speed,nopeus
spirit,henki
split,jakaa
spot,paikka
spread,levitä
spring,kevät
square,neliö
staff,henkilöstö
stage,vaihe
stake,osuus
stand,seistä
standard,standardi
standing,seisova
star,tähti
start,alkaa
state,valtio
statement,lausunto
station,asema
statistics,tilastot
stay,oleskelu
steam,höyry
steel,teräs
step,askel
sterling,laadukas
stick,tikku
still,vielä
stir,herättää
stock,varasto
stone,kivi
stop,pysähtyä
store,myymälä
storm,myrsky
story,tarina
straight,suora
strain,rasitus
straw,olki
stream,virta
street,katu
strength,vahvuus
stretch,venyttää
strike,lakko
stroke,tahti
strong,vahva
study,tutkimus
style,tyyli
subject,aihe
subsidiary,tytäryhtiö
such,niin
sugar,sokeri
suit,puku
sum,summa
sun,aurinko
supply,tarjonta
support,tuki
surplus,ylijäämä
sweet,makea
sword,miekka
system,järjestelmä
table,taulukko
tail,häntä
take,ottaa
taking,ottaen
talk,puhua
target,kohde
taste,maku
tax,vero
tea,tee
tear,repiä
technology,tekniikka
teeth,hampaat
telephone,puhelin
television,televisio
tell,kertoa
temper,luonne
tender,tarjous
term,termi
test,testi
text,teksti
then,sitten
there,siellä
thick,paksu
thin,ohut
thing,asia
think,ajatella
third,kolmas
thought,ajatus
three,kolme
throat,kurkku
through,kautta
throw,heittää
ticket,lippu
tide,vuorovesi
time,aika
times,kertaa
tip,kärki
today,tänään
together,yhdessä
tomorrow,huomenna
tongue,kieli
too,liian
top,huippu
total,koko
touch,koskettaa
track,raita
trade,kauppa
train,juna
transaction,kauppa
tread,astua
treasury,aarrekammio
tree,puu
trouble,ongelmia
TRUE,tosi
trust,luottamus
truth,totuus
try,yrittää
turn,kääntyä
two,kaksi
type,tyyppi
under,alle
union,liitto
unit,yksikkö
united,yhdistetty
up,ylös
use,käyttää
vain,turhamainen
value,arvo
venture,hanke
very,hyvin
vice,vara-
view,näkymä
virtue,hyve
voice,ääni
volume,tilavuus
vote,ääni
wait,odottaa
walk,kävellä
wall,seinä
want,haluta
war,sota
warm,lämmin
wash,pestä
waste,jätteet
watch,katsella
water,vesi
wave,aalto
way,tapa
weak,heikko
wear,kuluminen
weather,sää
week,viikko
weight,paino
well,hyvin
west,länsi
western,länsimainen
wet,märkä
wheat,vehnä
wheel,pyörä
while,sillä aikaa
white,valkoinen
whole,koko
wide,leveä
wild,villi
will,tulevat
wind,tuuli
window,ikkuna
wire,johto
wise,viisas
wish,toivottaa
within,sisällä
won,voitti
wonder,ihme
word,sana
work,työ
working,toimiva
world,maailma
worse,huonompi
worth,arvoinen
write,kirjoittaa
wrong,väärin
year,vuosi
yellow,keltainen
yesterday,eilen
yet,vielä
yield,tuotto
zero,nolla
zone,vyöhyke
